Date,CO2 Instantaneous,CO2 TWA
2021-05-17,906.6296296296297,909.5393518518518
2021-05-18,1105.8703703703704,1075.8912037037037
2021-05-19,1170.5949074074074,1176.4027777777778
2021-05-20,1019.761574074074,1018.2754629629629
2021-05-21,1050.8125,1045.0347222222222
2021-05-22,1145.360465116279,1143.0023255813953
2021-05-23,1110.951388888889,1112.4791666666667
2021-05-24,1301.8310185185185,1296.1805555555557
2021-05-25,925.7407407407408,1058.3865740740741
2021-05-26,684.1018518518518,686.7800925925926
2021-05-27,496.83101851851853,496.75231481481484
2021-05-28,424.7916666666667,423.96527777777777
2021-05-29,582.5069444444445,582.7523148148148
2021-05-30,422.32175925925924,422.037037037037
2021-05-31,479.1041666666667,478.5324074074074
2021-06-05,1112.2615740740741,1103.900462962963
2021-06-06,1772.1458333333333,1775.3680555555557
2021-06-07,1646.138888888889,1634.5115740740741
2021-06-08,927.1232558139535,916.2348837209303
2021-06-09,667.4212962962963,694.4097222222222
2021-06-10,2280.8302325581394,2289.9441860465117
2021-06-11,1469.5300925925926,1458.8634259259259
2021-06-12,687.2546296296297,677.9699074074074
2021-06-13,1783.798611111111,1777.462962962963
2021-06-14,1820.4421296296296,1818.1666666666667
2021-06-15,1888.8796296296296,1949.0810185185185
2021-06-16,1590.537037037037,1590.7476851851852
2021-06-17,2411.9953703703704,2268.2106481481483
2021-06-18,2703.652777777778,2711.159722222222
2021-06-19,2240.384259259259,2232.6388888888887
2021-06-20,2367.0138888888887,2364.0694444444443
2021-06-21,2544.702325581395,2549.7093023255816
2021-06-22,2646.8680555555557,2650.0439814814813
2021-06-23,2282.8518518518517,2278.5763888888887
2021-06-24,2181.1388888888887,2176.502314814815
2021-06-25,2339.1064814814813,2336.2800925925926
2021-06-26,2294.347222222222,2295.863425925926
2021-06-27,2255.372685185185,2257.5925925925926
2021-06-28,2281.152777777778,2282.8263888888887
2021-06-29,2126.9328703703704,2173.4444444444443
2021-06-30,1629.3125,1657.710648148148
2021-07-05,1065.1064814814815,1065.974537037037
2021-07-06,1683.398148148148,1676.7592592592594
2021-07-07,1563.5604651162791,1596.9697674418605
2021-07-08,878.1113689095127,897.8399071925754
2021-07-09,780.6296296296297,721.1319444444445
2021-07-10,2163.502314814815,2165.553240740741
2021-07-11,1372.348888888889,1414.0511111111111
2021-07-12,706.2361111111111,727.7916666666666
2021-07-13,1424.3055555555557,1449.7569444444443
2021-07-14,1426.3240740740741,1424.0416666666667
2021-07-15,1445.462962962963,1422.0532407407406
2021-07-16,1440.4375,1461.1851851851852
2021-07-17,1433.4398148148148,1425.6828703703704
2021-07-18,1443.5057471264367,1446.4367816091954
2021-08-05,1088.298611111111,1093.3935185185185
2021-08-06,1761.2529002320186,1764.0440835266822
2021-08-07,1560.5069444444443,1604.9560185185185
2021-08-08,830.1925754060325,836.800464037123
2021-08-09,955.8726851851852,923.7291666666666
2021-08-10,2221.3958333333335,2224.814814814815
2021-08-11,1300.5115740740741,1301.3171296296296
2021-08-12,549.1736111111111,556.6620370370371
2021-08-13,1563.4849187935035,1586.5591647331787
2021-08-14,1284.2546296296296,1322.8958333333333
2021-08-15,1191.2511627906977,1208.3186046511628
2021-08-16,1249.013921113689,1226.84686774942
2021-08-17,1373.4375,1348.6064814814815
2021-08-18,1807.9883990719256,1606.0696055684455
2021-08-19,2503.639534883721,2522.5627906976742
2021-08-20,2466.2088167053366,2472.7122969837587
2021-08-21,2370.1415313225057,2409.127610208817
2021-08-22,2182.30626450116,2211.522041763341
2021-08-23,2134.1319444444443,2131.4375
